,Country,Date,Confirmed,Active,Deaths,Recovered
0,Afghanistan,2/24/20,1,1,0,0
1,Afghanistan,2/25/20,1,1,0,0
2,Afghanistan,2/26/20,1,1,0,0
3,Afghanistan,2/27/20,1,1,0,0
4,Afghanistan,2/28/20,1,1,0,0
5,Afghanistan,2/29/20,1,1,0,0
6,Afghanistan,3/1/20,1,1,0,0
7,Afghanistan,3/10/20,5,5,0,0
8,Afghanistan,3/11/20,7,7,0,0
9,Afghanistan,3/12/20,7,7,0,0
10,Afghanistan,3/13/20,7,7,0,0
11,Afghanistan,3/14/20,11,11,0,0
12,Afghanistan,3/15/20,16,16,0,0
13,Afghanistan,3/16/20,21,20,0,1
14,Afghanistan,3/17/20,22,21,0,1
15,Afghanistan,3/18/20,22,21,0,1
16,Afghanistan,3/19/20,22,21,0,1
17,Afghanistan,3/2/20,1,1,0,0
18,Afghanistan,3/3/20,1,1,0,0
19,Afghanistan,3/4/20,1,1,0,0
20,Afghanistan,3/5/20,1,1,0,0
21,Afghanistan,3/6/20,1,1,0,0
22,Afghanistan,3/7/20,1,1,0,0
23,Afghanistan,3/8/20,4,4,0,0
24,Afghanistan,3/9/20,4,4,0,0
25,Albania,3/10/20,10,10,0,0
26,Albania,3/11/20,12,11,1,0
27,Albania,3/12/20,23,22,1,0
28,Albania,3/13/20,33,32,1,0
29,Albania,3/14/20,38,37,1,0
30,Albania,3/15/20,42,41,1,0
31,Albania,3/16/20,51,50,1,0
32,Albania,3/17/20,55,54,1,0
33,Albania,3/18/20,59,57,2,0
34,Albania,3/19/20,64,62,2,0
35,Albania,3/9/20,2,2,0,0
36,Algeria,2/25/20,1,1,0,0
37,Algeria,2/26/20,1,1,0,0
38,Algeria,2/27/20,1,1,0,0
39,Algeria,2/28/20,1,1,0,0
40,Algeria,2/29/20,1,1,0,0
41,Algeria,3/1/20,1,1,0,0
42,Algeria,3/10/20,20,20,0,0
43,Algeria,3/11/20,20,20,0,0
44,Algeria,3/12/20,24,15,1,8
45,Algeria,3/13/20,26,16,2,8
46,Algeria,3/14/20,37,22,3,12
47,Algeria,3/15/20,48,32,4,12
48,Algeria,3/16/20,54,38,4,12
49,Algeria,3/17/20,60,44,4,12
50,Algeria,3/18/20,74,55,7,12
51,Algeria,3/19/20,87,46,9,32
52,Algeria,3/2/20,3,3,0,0
53,Algeria,3/3/20,5,5,0,0
54,Algeria,3/4/20,12,12,0,0
55,Algeria,3/5/20,12,12,0,0
56,Algeria,3/6/20,17,17,0,0
57,Algeria,3/7/20,17,17,0,0
58,Algeria,3/8/20,19,19,0,0
59,Algeria,3/9/20,20,20,0,0
60,Argentina,3/10/20,17,16,1,0
61,Argentina,3/11/20,19,18,1,0
62,Argentina,3/12/20,19,18,1,0
63,Argentina,3/13/20,31,29,2,0
64,Argentina,3/14/20,34,31,2,1
65,Argentina,3/15/20,45,42,2,1
66,Argentina,3/16/20,56,53,2,1
67,Argentina,3/17/20,68,63,2,3
68,Argentina,3/18/20,79,74,2,3
69,Argentina,3/19/20,97,91,3,3
70,Argentina,3/3/20,1,1,0,0
71,Argentina,3/4/20,1,1,0,0
72,Argentina,3/5/20,1,1,0,0
73,Argentina,3/6/20,2,2,0,0
74,Argentina,3/7/20,8,8,0,0
75,Argentina,3/8/20,12,11,1,0
76,Argentina,3/9/20,12,11,1,0
77,Armenia,3/1/20,1,1,0,0
78,Armenia,3/10/20,1,1,0,0
79,Armenia,3/11/20,1,1,0,0
80,Armenia,3/12/20,4,4,0,0
81,Armenia,3/13/20,8,8,0,0
82,Armenia,3/14/20,18,18,0,0
83,Armenia,3/15/20,26,26,0,0
84,Armenia,3/16/20,52,52,0,0
85,Armenia,3/17/20,78,77,0,1
86,Armenia,3/18/20,84,83,0,1
87,Armenia,3/19/20,115,114,0,1
88,Armenia,3/2/20,1,1,0,0
89,Armenia,3/3/20,1,1,0,0
90,Armenia,3/4/20,1,1,0,0
91,Armenia,3/5/20,1,1,0,0
92,Armenia,3/6/20,1,1,0,0
93,Armenia,3/7/20,1,1,0,0
94,Armenia,3/8/20,1,1,0,0
95,Armenia,3/9/20,1,1,0,0
96,Australia,1/26/20,4,4,0,0
97,Australia,1/27/20,5,5,0,0
98,Australia,1/28/20,5,5,0,0
99,Australia,1/29/20,6,6,0,0
100,Australia,1/30/20,9,7,0,2
101,Australia,1/31/20,9,7,0,2
102,Australia,2/1/20,12,10,0,2
103,Australia,2/10/20,15,13,0,2
104,Australia,2/11/20,15,13,0,2
105,Australia,2/12/20,15,13,0,2
106,Australia,2/13/20,15,7,0,8
107,Australia,2/14/20,15,7,0,8
108,Australia,2/15/20,15,7,0,8
109,Australia,2/16/20,15,7,0,8
110,Australia,2/17/20,15,5,0,10
111,Australia,2/18/20,15,5,0,10
112,Australia,2/19/20,15,5,0,10
113,Australia,2/2/20,12,10,0,2
114,Australia,2/20/20,15,5,0,10
115,Australia,2/21/20,15,4,0,11
116,Australia,2/22/20,15,4,0,11
117,Australia,2/23/20,15,4,0,11
118,Australia,2/24/20,15,4,0,11
119,Australia,2/25/20,15,4,0,11
120,Australia,2/26/20,15,4,0,11
121,Australia,2/27/20,15,4,0,11
122,Australia,2/28/20,15,4,0,11
123,Australia,2/29/20,25,14,0,11
124,Australia,2/3/20,12,10,0,2
125,Australia,2/4/20,13,11,0,2
126,Australia,2/5/20,13,11,0,2
127,Australia,2/6/20,14,12,0,2
128,Australia,2/7/20,15,13,0,2
129,Australia,2/8/20,15,13,0,2
130,Australia,2/9/20,15,13,0,2
131,Australia,3/1/20,27,15,1,11
132,Australia,3/10/20,107,83,3,21
133,Australia,3/11/20,128,104,3,21
134,Australia,3/12/20,128,104,3,21
135,Australia,3/13/20,200,174,3,23
136,Australia,3/14/20,250,224,3,23
137,Australia,3/15/20,297,271,3,23
138,Australia,3/16/20,377,351,3,23
139,Australia,3/17/20,452,424,5,23
140,Australia,3/18/20,568,539,6,23
141,Australia,3/19/20,681,649,6,26
142,Australia,3/2/20,30,18,1,11
143,Australia,3/3/20,39,27,1,11
144,Australia,3/4/20,52,39,2,11
145,Australia,3/5/20,55,32,2,21
146,Australia,3/6/20,60,37,2,21
147,Australia,3/7/20,63,40,2,21
148,Australia,3/8/20,76,52,3,21
149,Australia,3/9/20,91,67,3,21
150,Austria,2/25/20,2,2,0,0
151,Austria,2/26/20,2,2,0,0
152,Austria,2/27/20,3,3,0,0
153,Austria,2/28/20,3,3,0,0
154,Austria,2/29/20,9,9,0,0
155,Austria,3/1/20,14,14,0,0
156,Austria,3/10/20,183,179,0,4
157,Austria,3/11/20,247,243,0,4
158,Austria,3/12/20,303,298,1,4
159,Austria,3/13/20,505,498,1,6
160,Austria,3/14/20,659,652,1,6
161,Austria,3/15/20,864,857,1,6
162,Austria,3/16/20,1022,1013,3,6
163,Austria,3/17/20,1339,1335,3,1
164,Austria,3/18/20,1674,1661,4,9
165,Austria,3/19/20,2041,2026,6,9
166,Austria,3/2/20,18,18,0,0
167,Austria,3/3/20,21,21,0,0
168,Austria,3/4/20,30,30,0,0
169,Austria,3/5/20,42,42,0,0
170,Austria,3/6/20,56,56,0,0
171,Austria,3/7/20,80,80,0,0
172,Austria,3/8/20,105,105,0,0
173,Austria,3/9/20,132,130,0,2
174,Azerbaijan,3/1/20,3,3,0,0
175,Azerbaijan,3/10/20,11,11,0,0
176,Azerbaijan,3/11/20,11,8,0,3
177,Azerbaijan,3/12/20,11,8,0,3
178,Azerbaijan,3/13/20,15,11,1,3
179,Azerbaijan,3/14/20,15,11,1,3
180,Azerbaijan,3/15/20,23,16,1,6
181,Azerbaijan,3/16/20,15,8,1,6
182,Azerbaijan,3/17/20,28,21,1,6
183,Azerbaijan,3/18/20,28,21,1,6
184,Azerbaijan,3/19/20,44,37,1,6
185,Azerbaijan,3/2/20,3,3,0,0
186,Azerbaijan,3/3/20,3,3,0,0
187,Azerbaijan,3/4/20,3,3,0,0
188,Azerbaijan,3/5/20,6,6,0,0
189,Azerbaijan,3/6/20,6,6,0,0
190,Azerbaijan,3/7/20,9,9,0,0
191,Azerbaijan,3/8/20,9,9,0,0
192,Azerbaijan,3/9/20,9,9,0,0
193,Bangladesh,3/10/20,3,3,0,0
194,Bangladesh,3/11/20,3,3,0,0
195,Bangladesh,3/12/20,3,3,0,0
196,Bangladesh,3/13/20,3,3,0,0
197,Bangladesh,3/14/20,3,3,0,0
198,Bangladesh,3/15/20,5,5,0,0
199,Bangladesh,3/16/20,8,6,0,2
200,Bangladesh,3/17/20,10,7,0,3
201,Bangladesh,3/18/20,14,10,1,3
202,Bangladesh,3/19/20,17,13,1,3
203,Bangladesh,3/8/20,3,3,0,0
204,Bangladesh,3/9/20,3,3,0,0
205,Belarus,2/28/20,1,1,0,0
206,Belarus,2/29/20,1,1,0,0
207,Belarus,3/1/20,1,1,0,0
208,Belarus,3/10/20,9,6,0,3
209,Belarus,3/11/20,9,6,0,3
210,Belarus,3/12/20,12,9,0,3
211,Belarus,3/13/20,27,24,0,3
212,Belarus,3/14/20,27,24,0,3
213,Belarus,3/15/20,27,24,0,3
214,Belarus,3/16/20,36,33,0,3
215,Belarus,3/17/20,36,33,0,3
216,Belarus,3/18/20,51,46,0,5
217,Belarus,3/19/20,51,46,0,5
218,Belarus,3/2/20,1,1,0,0
219,Belarus,3/3/20,1,1,0,0
220,Belarus,3/4/20,6,6,0,0
221,Belarus,3/5/20,6,6,0,0
222,Belarus,3/6/20,6,6,0,0
223,Belarus,3/7/20,6,6,0,0
224,Belarus,3/8/20,6,6,0,0
225,Belarus,3/9/20,6,5,0,1
226,Belgium,2/10/20,1,1,0,0
227,Belgium,2/11/20,1,1,0,0
228,Belgium,2/12/20,1,1,0,0
229,Belgium,2/13/20,1,1,0,0
230,Belgium,2/14/20,1,1,0,0
231,Belgium,2/15/20,1,1,0,0
232,Belgium,2/16/20,1,1,0,0
233,Belgium,2/17/20,1,0,0,1
234,Belgium,2/18/20,1,0,0,1
235,Belgium,2/19/20,1,0,0,1
236,Belgium,2/20/20,1,0,0,1
237,Belgium,2/21/20,1,0,0,1
238,Belgium,2/22/20,1,0,0,1
239,Belgium,2/23/20,1,0,0,1
240,Belgium,2/24/20,1,0,0,1
